time,p
0.897992,9.11692
0.898992,9.117746
0.899992,9.118572
0.900992,9.119399
0.901992,9.120226
0.902992,9.121053
0.9039919,9.12188
0.9049919,9.122707
0.9059919,9.123534
0.9069919,9.124361
0.9079919,9.125188
0.9089919,9.126016
0.9099919,9.126843
0.9109918,9.127671
0.9119918,9.128499
0.9129918,9.129327
0.9139918,9.130155
0.9149918,9.130984
0.9159918,9.131812
0.9169918,9.13264
0.9179918,9.133468
0.9189917,9.134297
0.9199917,9.135126
0.9209917,9.135955
0.9219917,9.136784
0.9229917,9.137613
0.9239917,9.138442
0.9249917,9.139271
0.9259917,9.140101
0.9269916,9.140931
0.9279916,9.141761
0.9289916,9.142591
0.9299916,9.143421
0.9309916,9.144252
0.9319916,9.145038
0.9329916,9.145717
0.9339916,9.146294
0.9349915,9.146776
0.9359915,9.147169
0.9369915,9.147479
0.9379915,9.147711
0.9389915,9.147871
0.9399915,9.147963
0.9409915,9.147991
0.9419914,9.14796
0.9429914,9.147874
0.9439914,9.147735
0.9449914,9.147548
0.9459914,9.147316
0.9469914,9.147041
0.9479914,9.146727
0.9489914,9.146376
0.9499913,9.14599
0.9509913,9.145572
0.9519913,9.145124
0.9529913,9.144648
0.9539913,9.144145
0.9549913,9.143617
0.9559913,9.143067
0.9569913,9.142495
0.9579912,9.141903
0.9589912,9.141292
0.9599912,9.140663
0.9609912,9.140018
0.9619912,9.139357
0.9629912,9.138682
0.9639912,9.137994
0.9649912,9.137293
0.9659911,9.13658
0.9669911,9.135856
0.9679911,9.135122
0.9689911,9.134378
0.9699911,9.133625
0.9709911,9.132864
0.9719911,9.132095
0.972991,9.131319
0.973991,9.130536
0.974991,9.129746
0.975991,9.128951
0.976991,9.12815
0.977991,9.127344
0.978991,9.126533
0.979991,9.125717
0.9809909,9.124897
0.9819909,9.124073
0.9829909,9.123245
0.9839909,9.122414
0.9849909,9.12158
0.9859909,9.120743
0.9869909,9.119903
0.9879909,9.11906
0.9889908,9.118214
0.9899908,9.117367
0.9909908,9.116517
0.9919908,9.115665
0.9929908,9.114812
0.9939908,9.113957
0.9949908,9.1131
0.9959908,9.112242
0.9969907,9.111382
0.9979907,9.110521
0.9989907,9.109659
0.9999907,9.108795
1.000991,9.107931
1.001991,9.107066
1.002991,9.1062
1.003991,9.105333
1.004991,9.104465
1.005991,9.103597
1.006991,9.102728
1.007991,9.101858
1.008991,9.100988
1.009991,9.100117
1.010991,9.099246
1.011991,9.098375
1.012991,9.097503
1.013991,9.09663
1.014991,9.095757
1.015991,9.094884
1.016991,9.094011
1.017992,9.093137
1.018992,9.092263
1.019992,9.091389
1.020992,9.090515
1.021992,9.089641
1.022992,9.088767
1.023992,9.087892
1.024992,9.087017
1.025992,9.086142
1.026992,9.085267
1.027992,9.084392
1.028992,9.083517
1.029992,9.082642
1.030992,9.081767
1.031992,9.080892
1.032992,9.080017
1.033992,9.079142
1.034992,9.078267
1.035992,9.077392
1.036992,9.076517
1.037992,9.075642
1.038993,9.074767
1.039993,9.073892
1.040993,9.073017
1.041993,9.072142
1.042993,9.071267
1.043993,9.070392
1.044993,9.069517
1.045993,9.068642
1.046993,9.067767
1.047993,9.066892
1.048993,9.066018
1.049993,9.065143
1.050993,9.064269
1.051993,9.063395
1.052993,9.062521
1.053993,9.061647
1.054993,9.060773
1.055993,9.059899
1.056993,9.059026
1.057993,9.058152
1.058993,9.057279
1.059994,9.056406
1.060994,9.055533
1.061994,9.05466
1.062994,9.053787
1.063994,9.052914
1.064994,9.052041
1.065994,9.051168
1.066994,9.050295
1.067994,9.049423
1.068994,9.048551
1.069994,9.047679
1.070994,9.046807
1.071994,9.045935
1.072994,9.045063
1.073994,9.044191
1.074994,9.043319
1.075994,9.042447
1.076994,9.041576
1.077994,9.040705
1.078994,9.039834
1.079994,9.038963
1.080994,9.038092
1.081995,9.037221
1.082995,9.03635
1.083995,9.035479
1.084995,9.034609
1.085995,9.033738
1.086995,9.032868
1.087995,9.031998
1.088995,9.031128
1.089995,9.030258
1.090995,9.029388
1.091995,9.028518
1.092995,9.027649
1.093995,9.026779
1.094995,9.02591
1.095995,9.025041
1.096995,9.024172
1.097995,9.023303
1.098995,9.022434
1.099995,9.021565
1.100995,9.020696
1.101995,9.019828
1.102996,9.018959
1.103996,9.018091
1.104996,9.017223
1.105996,9.016355
1.106996,9.015487
1.107996,9.014619
1.108996,9.013751
1.109996,9.012883
1.110996,9.012016
1.111996,9.011149
1.112996,9.010282
1.113996,9.009415
1.114996,9.008548
1.115996,9.007681
1.116996,9.006814
1.117996,9.005948
1.118996,9.005082
1.119996,9.004215
1.120996,9.003348
1.121996,9.002482
1.122996,9.001616
1.123996,9.00075
1.124997,8.999885
1.125997,8.99902
1.126997,8.998154
1.127997,8.997288
1.128997,8.996423
1.129997,8.995558
1.130997,8.994693
1.131997,8.993828
1.132997,8.992963
1.133997,8.992099
1.134997,8.991235
1.135997,8.99037
1.136997,8.989505
1.137997,8.988641
1.138997,8.987777
1.139997,8.986913
1.140997,8.986049
1.141997,8.985185
1.142997,8.984321
1.143997,8.983458
1.144997,8.982595
1.145998,8.981732
1.146998,8.980869
1.147998,8.980006
1.148998,8.979144
1.149998,8.978282
1.150998,8.977419
1.151998,8.976556
1.152998,8.975693
1.153998,8.97483
1.154998,8.973967
1.155998,8.973105
1.156998,8.972243
1.157998,8.971381
1.158998,8.970519
1.159998,8.969657
1.160998,8.968796
1.161998,8.967935
1.162998,8.967074
1.163998,8.966213
1.164998,8.965352
1.165998,8.964491
1.166999,8.96363
1.167999,8.962769
1.168999,8.961908
1.169999,8.961047
1.170999,8.960186
1.171999,8.959326
1.172999,8.958466
1.173999,8.957606
1.174999,8.956746
1.175999,8.955886
1.176999,8.955027
1.177999,8.954168
1.178999,8.953309
1.179999,8.95245
1.180999,8.951591
1.181999,8.950732
1.182999,8.949873
1.183999,8.949014
1.184999,8.948155
1.185999,8.947297
1.186999,8.946439
1.187999,8.94558
1.189,8.944721
1.19,8.943863
1.191,8.943005
1.192,8.942147
1.193,8.94129
1.194,8.940433
1.195,8.939576
1.196,8.938719
1.197,8.937861
1.198,8.937003
1.199,8.936146
1.2,8.935288
1.201,8.934431
1.202,8.933574
1.203,8.932717
1.204,8.931861
1.205,8.931005
1.206,8.930149
1.207,8.929292
1.208,8.928436
1.209,8.92758
1.210001,8.926724
1.211001,8.925868
1.212001,8.925012
1.213001,8.924156
1.214001,8.9233
1.215001,8.922444
1.216001,8.921589
1.217001,8.920734
1.218001,8.919879
1.219001,8.919024
1.220001,8.918169
1.221001,8.917315
1.222001,8.916461
1.223001,8.915607
1.224001,8.914753
1.225001,8.913898
1.226001,8.913044
1.227001,8.91219
1.228001,8.911336
1.229001,8.910482
1.230001,8.909628
1.231001,8.908774
1.232002,8.90792
1.233002,8.907067
1.234002,8.906214
1.235002,8.905361
1.236002,8.904508
1.237002,8.903655
1.238002,8.902802
1.239002,8.901949
1.240002,8.901097
1.241002,8.900244
1.242002,8.899391
1.243002,8.898538
1.244002,8.897686
1.245002,8.896834
1.246002,8.895982
1.247002,8.89513
1.248002,8.894278
1.249002,8.893426
1.250002,8.892574
1.251002,8.891722
1.252002,8.890871
1.253003,8.89002
1.254003,8.889169
1.255003,8.888318
1.256003,8.887467
1.257003,8.886616
1.258003,8.885765
1.259003,8.884915
1.260003,8.884064
1.261003,8.883213
1.262003,8.882363
1.263003,8.881513
1.264003,8.880663
1.265003,8.879813
1.266003,8.878963
1.267003,8.878113
1.268003,8.877263
1.269003,8.876414
1.270003,8.875564
1.271003,8.874715
1.272003,8.873866
1.273003,8.873017
1.274004,8.872168
1.275004,8.871319
1.276004,8.87047
1.277004,8.869621
1.278004,8.868772
1.279004,8.867923
1.280004,8.867074
1.281004,8.866226
1.282004,8.865378
1.283004,8.86453
1.284004,8.863682
1.285004,8.862834
1.286004,8.861986
1.287004,8.861138
1.288004,8.86029
1.289004,8.859443
1.290004,8.858595
1.291004,8.857748
1.292004,8.856901
1.293004,8.856054
1.294004,8.855207
1.295004,8.85436
1.296005,8.853513
1.297005,8.852666
1.298005,8.851819
1.299005,8.850973
1.300005,8.850126
1.301005,8.84928
1.302005,8.848434
1.303005,8.847588
1.304005,8.846742
1.305005,8.845896
1.306005,8.845051
1.307005,8.844205
1.308005,8.84336
1.309005,8.842514
1.310005,8.841668
