time,p
0.9539913,9.288261
0.9549913,9.287344
0.9559913,9.286404
0.9569913,9.285442
0.9579912,9.284461
0.9589912,9.283461
0.9599912,9.282443
0.9609912,9.281409
0.9619912,9.280359
0.9629912,9.279295
0.9639912,9.278217
0.9649912,9.277127
0.9659911,9.276025
0.9669911,9.274912
0.9679911,9.273788
0.9689911,9.272655
0.9699911,9.271512
0.9709911,9.270361
0.9719911,9.269202
0.972991,9.268035
0.973991,9.266861
0.974991,9.265681
0.975991,9.264494
0.976991,9.263302
0.977991,9.262104
0.978991,9.260901
0.979991,9.259693
0.9809909,9.258481
0.9819909,9.257265
0.9829909,9.256045
0.9839909,9.254821
0.9849909,9.253594
0.9859909,9.252364
0.9869909,9.251131
0.9879909,9.249895
0.9889908,9.248657
0.9899908,9.247417
0.9909908,9.246174
0.9919908,9.244929
0.9929908,9.243682
0.9939908,9.242433
0.9949908,9.241182
0.9959908,9.23993
0.9969907,9.238677
0.9979907,9.237422
0.9989907,9.236166
0.9999907,9.234909
1.000991,9.233651
1.001991,9.232392
1.002991,9.231132
1.003991,9.229871
1.004991,9.228609
1.005991,9.227346
1.006991,9.226083
1.007991,9.224819
1.008991,9.223554
1.009991,9.222289
1.010991,9.221023
1.011991,9.219757
1.012991,9.218491
1.013991,9.217224
1.014991,9.215957
1.015991,9.21469
1.016991,9.213422
1.017992,9.212154
1.018992,9.210886
1.019992,9.209617
1.020992,9.208348
1.021992,9.207079
1.022992,9.20581
1.023992,9.204541
1.024992,9.203272
1.025992,9.202003
1.026992,9.200734
1.027992,9.199465
1.028992,9.198196
1.029992,9.196926
1.030992,9.195657
1.031992,9.194388
1.032992,9.193119
1.033992,9.19185
1.034992,9.190581
1.035992,9.189312
1.036992,9.188042
1.037992,9.186773
1.038993,9.185504
1.039993,9.184235
1.040993,9.182966
1.041993,9.181697
1.042993,9.180428
1.043993,9.17916
1.044993,9.177892
1.045993,9.176623
1.046993,9.175355
1.047993,9.174087
1.048993,9.172819
1.049993,9.171551
1.050993,9.170283
1.051993,9.169016
1.052993,9.167749
1.053993,9.166482
1.054993,9.165215
1.055993,9.163948
1.056993,9.162681
1.057993,9.161414
1.058993,9.160148
1.059994,9.158882
1.060994,9.157616
1.061994,9.15635
1.062994,9.155084
1.063994,9.153818
1.064994,9.152553
1.065994,9.151288
1.066994,9.150023
1.067994,9.148758
1.068994,9.147493
1.069994,9.146228
1.070994,9.144963
1.071994,9.143699
1.072994,9.142435
1.073994,9.141171
1.074994,9.139907
1.075994,9.138643
1.076994,9.137379
1.077994,9.136116
1.078994,9.134853
1.079994,9.13359
1.080994,9.132327
1.081995,9.131065
1.082995,9.129803
